id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
686807189047302319,Apartamento tranquilo de localização privilegiada.,81244634,Alfredo,,Barra da Tijuca,-2.299.673,-4.337.805,Entire home/apt,434,2,9,2022-12-21,02.06,1,156
17778889,*PQNO LOFT NA TIJUCA* - Qualidade e Privacidade.,15568094,Allan,,Tijuca,-2.292.401,-4.321.766,Entire home/apt,194,3,83,2022-11-14,1.19,1,330
2656134,MANSION IN GAVEA INSIDE THE FOREST,5016144,Roberta,,Gávea,-2.297.472,-4.323.539,Entire home/apt,4679,2,46,2022-12-06,0.45,3,144
51552774,Quarto bucólico em Vargem grande,384318990,Vivian,,Vargem Grande,-229.716,-4.349.038,Private room,90,1,0,,,2,361
694997522554315801,"Suíte Vila do Pan, perto do Rock in Rio",474950416,Ticiana,,Jacarepaguá,-22.971.700.585.263.200,-4.335.641.641.169.780,Private room,400,2,2,2022-11-14,0.56,2,365
16837559,Cantinho  da Clo II,112076225,Clotilde,,Santa Teresa,-229.215,-4.319.176,Private room,350,1,4,2020-02-26,0.09,4,365
695429467545327397,Casa ampla com churrasqueira e piscina - Day Use,82092777,Ursula,,Barra da Tijuca,-2.299.793,-433.427,Entire home/apt,2800,1,2,2022-12-05,1.82,3,354
14352757,Oportunidade imperdivel olimpíadas!,87299048,Celio,,Pechincha,-2.292.834,-4.334.638,Private room,1056,1,0,,,1,365
711126811677828076,Quarto em hotel - São Conrado,478194085,Ricardo,,São Conrado,-229.969,-432.563,Private room,1400,7,0,,,1,365
871406,Sossego e Saúde no Jardim Botânico,4593939,Shinhabá,,Jardim Botânico,-2.296.654,-4.323.407,Private room,528,3,0,,,1,365
13874531,Two-bedroom and living room apartment,81909501,Regina,,Jacarepaguá,-2.296.461,-434.083,Entire home/apt,528,10,0,,,1,365
15001456,Quarto de solteiro com sacada,53918534,Quiá,,Laranjeiras,-2.293.377,-4.319.249,Private room,148,1,2,2018-02-13,0.03,6,303
607874784408403674,Lindo apartamento a 100m da praia da Barra!,95398330,Ricardo,,Barra da Tijuca,-23.006.742,-43.325.676,Entire home/apt,350,1,1,2022-04-24,0.12,1,90
